"","est1","","","",""
"","b","se","t","p","ci95"
"tried","2.209573","1.169304","1.889648",".0588051","-.0822208,4.501367"
"textit_locf","1.640304",".3735819","4.39075",".0000113",".9080974,2.372511"
"age",".0383878",".0533982",".7188975",".4722041","-.0662707,.1430464"
"postSec","-.3078338",".485145","-.6345192",".525742","-1.2587,.6430329"
"discontinued",".405873",".4446",".9128948",".3612979","-.4655269,1.277273"
"marriedUnion",".0227724",".5607295",".0406121",".9676052","-1.076237,1.121782"
"nulligravida",".0609177",".6553677",".0929519",".9259418","-1.223579,1.345415"
"childrenEverBorn",".0403613",".1861879",".2167774",".8283818","-.3245603,.4052829"
"_cons","-3.078509","1.457403","-2.112326",".0346585","-5.934966,-.2220526"
"N","112","","","",""
